iter	Passed	Remaining
0	1	147
1	2	133
2	3	122
3	4	114
4	5	108
5	6	105
6	7	101
7	8	98
8	9	95
9	10	91
10	10	88
11	11	84
12	12	81
13	13	80
14	13	78
15	14	75
16	15	73
17	15	71
18	16	69
19	17	68
20	17	66
21	18	65
22	19	63
23	19	62
24	20	61
25	21	60
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	26	53
33	26	52
34	27	51
35	28	50
36	29	49
37	29	48
38	30	47
39	31	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	41
45	34	40
46	35	40
47	36	39
48	36	38
49	37	37
50	38	36
51	39	36
52	40	35
53	40	34
54	41	33
55	41	32
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	50	24
67	51	24
68	52	23
69	53	22
70	54	22
71	55	21
72	55	20
73	56	19
74	57	19
75	58	18
76	58	17
77	59	16
78	60	16
79	61	15
80	61	14
81	62	13
82	63	12
83	63	12
84	64	11
85	65	10
86	66	9
87	67	9
88	67	8
89	68	7
90	69	6
91	70	6
92	70	5
93	71	4
94	72	3
95	73	3
96	73	2
97	74	1
98	75	0
99	76	0
